chr3	144304621	144304650	-	97
chr15	6999248	6999277	+	95
chr11	86397612	86397643	-	93
chr9	122510286	122510316	+	92
chr1	155387540	155387569	+	92
chr9	63610283	63610312	+	91
chr2	22216293	22216322	-	90
chr12	3420630	3420659	-	9
chr12	75823132	75823161	+	9
chr12	12634941	12634970	+	9
chr11	108872979	108873013	-	9
chr11	53129669	53129699	-	9
chr10	105010865	105010894	-	9
chrX	76933250	76933279	+	9
chr10	94521914	94521943	+	9
chr8	27602119	27602148	+	9
chr7	82842256	82842285	-	9
chr5	123202872	123202901	-	9
chr5	90898713	90898744	+	9
chr5	36838136	36838166	+	9
chr3	103066746	103066776	-	9
chr3	61963090	61963127	+	9
chr3	5860609	5860668	+	9
chr3	5860381	5860420	+	9
chr1	115800806	115800860	-	9
chr19	13129274	13129307	+	9
chr19	11894880	11894910	+	9
chr18	85867620	85867665	-	9
chr1	46132783	46132859	-	9
chr17	7146372	7146448	+	9
chr14	101825495	101825525	+	9
chr14	87062970	87062999	+	9
chr13	44965342	44965382	-	9
chr9	123371112	123371261	+	85
chr11	99122607	99122639	+	84
chr6	73576515	73576544	-	84
chrX	133455287	133455316	+	83
chr17	39983724	39983847	+	80
chr11	69923420	69923449	-	8
chr11	111389539	111389569	+	8
chr11	100157652	100157681	+	8
chr11	17121343	17121412	+	8
chr10	76365312	76365342	-	8
chr9	59889900	59889932	-	8
chr10	108505569	108505598	+	8
chr9	32258576	32258606	-	8
chr10	104675218	104675251	+	8
chr9	110183779	110183848	+	8
chr9	49357991	49358021	+	8
chr8	12246118	12246149	+	8
chr6	109455397	109455457	-	8
chr6	93204950	93204980	-	8
chr5	135498264	135498294	+	8
chr4	45359369	45359403	-	8
chr4	44648412	44648441	+	8
chr3	144074085	144074116	-	8
chr3	108157548	108157577	+	8
chr1	147658637	147658666	-	8
chr3	34516542	34516572	+	8
chr3	22376575	22376606	+	8
chr2	129381047	129381076	-	8
chr2	60612270	60612300	-	8
chr2	113112598	113112628	+	8
chr2	20821502	20821533	+	8
chr19	22926629	22926665	+	8
chr18	54858954	54859020	-	8
chr17	82237871	82237918	-	8
chr16	57391563	57391598	-	8
chr16	21280058	21280088	+	8
chr15	3221297	3221327	+	8
chr14	39375053	39375083	-	8
chr13	94770901	94770930	-	8
chr13	73936447	73936477	-	8
chr13	30882536	30882565	-	8
chr1	14210501	14210532	+	8
chr13	46648972	46649001	-	79
chr2	13189144	13189177	+	781
chr6	3150859	3150991	+	78
chr2	62337487	62337517	+	78
chr5	74400017	74400046	-	77
chr2	74663830	74663859	+	76
chr10	82417837	82417884	+	75
chr6	96542988	96543020	+	73
chrX	7838280	7838310	-	72
chr4	125786947	125786981	-	72
chr16	17222430	17222509	+	72
chr19	61274510	61274546	-	71
chr16	18533277	18533423	-	71
chr13	20790360	20790390	+	7
chr12	71844820	71844851	-	7
chr12	100883272	100883304	+	7
chr12	79452064	79452117	+	7
chr11	57713235	57713264	+	7
chrX	18724020	18724049	-	7
chr9	94846575	94846604	+	7
chr9	44422206	44422236	+	7
chr8	74008903	74008932	-	7
chr8	74842734	74842764	+	7
chr8	30755703	30755732	+	7
chr6	145881513	145881545	-	7
chr6	72376156	72376185	+	7
chr6	44742963	44743003	+	7
chr6	3151037	3151102	+	7
chr5	136734070	136734099	+	7
chr4	108014776	108014805	-	7
chr4	102702344	102702373	+	7
chr4	58080326	58080356	+	7
chr4	47943934	47943964	+	7
