70	sample1_nopolyA_ext70_cluster_6435	chrM	9327	9396	70:1	+	1	chrM	2k_up	7876	9875	+	.	NM_001163773	Gm10222	Gm10222:chrM:9876-10417:+
13	sample1_nopolyA_ext70_cluster_5896	chr8	3155657	3155726	70:1	-	1	chr8	3UTR	3150922	3155669	-	-1	NM_010568	Insr	Insr:chr8:3150922-3279617:-
70	sample1_nopolyA_ext70_cluster_5896	chr8	3155657	3155726	70:1	-	1	chr8	exon	3150922	3156023	-	2	NM_010568	Insr	Insr:chr8:3150922-3279617:-
57	sample1_nopolyA_ext70_cluster_5896	chr8	3155657	3155726	70:1	-	1	chr8	CDS	3155670	3156023	-	2	NM_010568	Insr	Insr:chr8:3150922-3279617:-
71	sample1_nopolyA_ext70_cluster_2099	chr15	3221297	3221367	1:5|69:10|1:5	+	10	chr15	intron	3220826	3224660	+	.	NM_001042613	Sepp1	Sepp1:chr15:3220767-3230508:+
71	sample1_nopolyA_ext70_cluster_2099	chr15	3221297	3221367	1:5|69:10|1:5	+	10	chr15	intron	3220953	3224660	+	.	NM_001042614	Sepp1	Sepp1:chr15:3220767-3230508:+
71	sample1_nopolyA_ext70_cluster_2099	chr15	3221297	3221367	1:5|69:10|1:5	+	10	chr15	intron	3221053	3224660	+	.	NM_009155	Sepp1	Sepp1:chr15:3220767-3230508:+
70	sample1_nopolyA_ext70_cluster_1325	chr12	3248703	3248772	70:1	-	1	chr12	3UTR	3247430	3249787	-	-1	NM_016676	Rab10	Rab10:chr12:3247430-3309969:-
70	sample1_nopolyA_ext70_cluster_1325	chr12	3248703	3248772	70:1	-	1	chr12	exon	3247430	3249870	-	0	NM_016676	Rab10	Rab10:chr12:3247430-3309969:-
70	sample1_nopolyA_ext70_cluster_963	chr11	3293393	3293462	70:1	-	1	chr11	intron	3293020	3309048	-	.	NM_010718	Limk2	Limk2:chr11:3243300-3309238:-
70	sample1_nopolyA_ext70_cluster_620	chr10	3307646	3307715	70:1	-	1	chr10	1k_dn	3307332	3308331	-	.	NM_001039652	Oprm1	Oprm1:chr10:3308332-3557940:-
70	sample1_nopolyA_ext70_cluster_5358	chr7	3338548	3338617	70:1	+	1	chr7	CDS	3338545	3338631	+	1	NM_133189	Cacng7	Cacng7:chr7:3336685-3366537:+
70	sample1_nopolyA_ext70_cluster_5358	chr7	3338548	3338617	70:1	+	1	chr7	exon	3338545	3338631	+	1	NM_133189	Cacng7	Cacng7:chr7:3336685-3366537:+
70	sample1_nopolyA_ext70_cluster_1148	chr12	3393442	3393511	70:1	+	1	chr12	intron	3390555	3401682	+	.	NM_008445	Kif3c	Kif3c:chr12:3365132-3406494:+
70	sample1_nopolyA_ext70_cluster_226	chr1	3407602	3407671	70:1	-	1	chr1	intron	3207050	3411782	-	.	NM_001011874	Xkr4	Xkr4:chr1:3204563-3661579:-
70	sample1_nopolyA_ext70_cluster_6082	chr9	3418314	3418383	70:1	+	1	chr9	intron	3417983	3418655	+	.	NM_027545	Cwf19l2	Cwf19l2:chr9:3404085-3479236:+
70	sample1_nopolyA_ext70_cluster_2630	chr17	3433589	3433658	70:2	+	2	chr17	intron	3429016	3437227	+	.	NM_001122998	Tiam2	Tiam2:chr17:3326573-3519397:+
70	sample1_nopolyA_ext70_cluster_2630	chr17	3433589	3433658	70:2	+	2	chr17	intron	3429016	3437227	+	.	NM_011878	Tiam2	Tiam2:chr17:3326573-3519397:+
70	sample1_nopolyA_ext70_cluster_3212	chr19	3483454	3483523	70:1	-	1	chr19	intron	3473816	3484830	-	.	NM_001164159	Saps3	Saps3:chr19:3454928-3575749:-
70	sample1_nopolyA_ext70_cluster_3212	chr19	3483454	3483523	70:1	-	1	chr19	intron	3473867	3484830	-	.	NM_029456	Saps3	Saps3:chr19:3454928-3575749:-
70	sample1_nopolyA_ext70_cluster_3212	chr19	3483454	3483523	70:1	-	1	chr19	intron	3478365	3484830	-	.	NM_028999	Saps3	Saps3:chr19:3454928-3575749:-
70	sample1_nopolyA_ext70_cluster_4168	chr4	3531470	3531539	70:1	+	1	chr4	intron	3529438	3531845	+	.	NM_054089	Tgs1	Tgs1:chr4:3502026-3543768:+
70	sample1_nopolyA_ext70_cluster_227	chr1	3550491	3550560	70:1	-	1	chr1	intron	3411983	3660632	-	.	NM_001011874	Xkr4	Xkr4:chr1:3204563-3661579:-
70	sample1_nopolyA_ext70_cluster_228	chr1	3615825	3615894	70:2	-	2	chr1	intron	3411983	3660632	-	.	NM_001011874	Xkr4	Xkr4:chr1:3204563-3661579:-
70	sample1_nopolyA_ext70_cluster_1149	chr12	3656324	3656393	70:1	+	1	chr12	intron	3648390	3686737	+	.	NM_001162465	Dtnb	Dtnb:chr12:3572391-3781397:+
70	sample1_nopolyA_ext70_cluster_1149	chr12	3656324	3656393	70:1	+	1	chr12	intron	3648390	3686737	+	.	NM_007886	Dtnb	Dtnb:chr12:3572391-3781397:+
70	sample1_nopolyA_ext70_cluster_1149	chr12	3656324	3656393	70:1	+	1	chr12	intron	3648390	3686737	+	.	NR_027869	Dtnb	Dtnb:chr12:3572391-3781397:+
70	sample1_nopolyA_ext70_cluster_1149	chr12	3656324	3656393	70:1	+	1	chr12	intron	3648390	3686737	+	.	NR_027870	Dtnb	Dtnb:chr12:3572391-3781397:+
70	sample1_nopolyA_ext70_cluster_3131	chr19	3784810	3784879	70:1	+	1	chr19	intron	3782280	3786388	+	.	NM_144871	Suv420h1	Suv420h1:chr19:3767421-3816391:+
70	sample1_nopolyA_ext70_cluster_1150	chr12	3860406	3860475	70:3	+	3	chr12	intron	3849740	3865984	+	.	NM_007872	Dnmt3a	Dnmt3a:chr12:3806980-3914443:+
71	sample1_nopolyA_ext70_cluster_2100	chr15	3984819	3984889	1:5|69:12|1:7	+	12	chr15	intron	3976850	3985259	+	.	NM_024188	Oxct1	Oxct1:chr15:3976428-4105344:+
70	sample1_nopolyA_ext70_cluster_2101	chr15	4029164	4029233	70:4	+	4	chr15	intron	4009997	4041167	+	.	NM_024188	Oxct1	Oxct1:chr15:3976428-4105344:+
70	sample1_nopolyA_ext70_cluster_4586	chr5	4041041	4041110	70:2	+	2	chr5	intron	4039344	4043917	+	.	NM_194462	Akap9	Akap9:chr5:3928186-4080204:+
70	sample1_nopolyA_ext70_cluster_2102	chr15	4089683	4089752	70:1	+	1	chr15	intron	4078924	4092791	+	.	NM_024188	Oxct1	Oxct1:chr15:3976428-4105344:+
70	sample1_nopolyA_ext70_cluster_3307	chr2	4095336	4095405	70:1	+	1	chr2	intron	4074157	4352244	+	.	NM_172475	Frmd4a	Frmd4a:chr2:4073918-4534988:+
70	sample1_nopolyA_ext70_cluster_3308	chr2	4182987	4183056	70:3	+	3	chr2	intron	4074157	4352244	+	.	NM_172475	Frmd4a	Frmd4a:chr2:4073918-4534988:+
70	sample1_nopolyA_ext70_cluster_3309	chr2	4257008	4257077	70:1	+	1	chr2	intron	4074157	4352244	+	.	NM_172475	Frmd4a	Frmd4a:chr2:4073918-4534988:+
70	sample1_nopolyA_ext70_cluster_3310	chr2	4266046	4266115	70:2	+	2	chr2	intron	4074157	4352244	+	.	NM_172475	Frmd4a	Frmd4a:chr2:4073918-4534988:+
70	sample1_nopolyA_ext70_cluster_1327	chr12	4432452	4432521	70:3	-	3	chr12	intron	4416806	4483649	-	.	NM_010881	Ncoa1	Ncoa1:chr12:4247363-4484060:-
70	sample1_nopolyA_ext70_cluster_2489	chr16	4491855	4491924	70:9	-	9	chr16	intron	4487610	4492293	-	.	NM_175347	Srl	Srl:chr16:4480228-4523053:-
70	sample1_nopolyA_ext70_cluster_5740	chr8	4497069	4497138	70:1	+	1	chr8	intron	4493591	4515554	+	.	NM_026058	Lass4	Lass4:chr8:4493405-4526079:+
70	sample1_nopolyA_ext70_cluster_964	chr11	4527819	4527888	70:1	-	1	chr11	intron	4526939	4529420	-	.	NR_027797	Gm11961	Gm11961:chr11:4520278-4530014:-
70	sample1_nopolyA_ext70_cluster_964	chr11	4527819	4527888	70:1	-	1	chr11	2k_up	4527770	4529769	-	.	NR_027798	Gm11961	Gm11961:chr11:4520278-4530014:-
70	sample1_nopolyA_ext70_cluster_1152	chr12	4651543	4651612	70:5	+	5	chr12	intron	4646601	4656788	+	.	NM_011365	Itsn2	Itsn2:chr12:4599814-4720758:+
70	sample1_nopolyA_ext70_cluster_6271	chr9	4663661	4663730	70:1	-	1	chr9	intron	4537820	4664767	-	.	NM_001113180	Gria4	Gria4:chr9:4417893-4796234:-
70	sample1_nopolyA_ext70_cluster_6271	chr9	4663661	4663730	70:1	-	1	chr9	intron	4537820	4664767	-	.	NM_001113181	Gria4	Gria4:chr9:4417893-4796234:-
70	sample1_nopolyA_ext70_cluster_6271	chr9	4663661	4663730	70:1	-	1	chr9	intron	4537820	4664767	-	.	NM_019691	Gria4	Gria4:chr9:4417893-4796234:-
70	sample1_nopolyA_ext70_cluster_6272	chr9	4667130	4667199	70:1	-	1	chr9	intron	4665008	4793809	-	.	NM_001113180	Gria4	Gria4:chr9:4417893-4796234:-
70	sample1_nopolyA_ext70_cluster_6272	chr9	4667130	4667199	70:1	-	1	chr9	intron	4665008	4793809	-	.	NM_001113181	Gria4	Gria4:chr9:4417893-4796234:-
70	sample1_nopolyA_ext70_cluster_6272	chr9	4667130	4667199	70:1	-	1	chr9	intron	4665008	4793809	-	.	NM_019691	Gria4	Gria4:chr9:4417893-4796234:-
70	sample1_nopolyA_ext70_cluster_2911	chr18	4670348	4670417	70:1	+	1	chr18	intron	4649404	4672512	+	.	NM_001081963	9430020K01Rik	9430020K01Rik:chr18:4634927-4682867:+
70	sample1_nopolyA_ext70_cluster_3214	chr19	4827064	4827133	70:3	-	3	chr19	intron	4826022	4832832	-	.	NM_016892	Ccs	Ccs:chr19:4825366-4839322:-
70	sample1_nopolyA_ext70_cluster_4792	chr5	4918318	4918387	70:1	-	1	chr5	intron	4894168	4922126	-	.	NM_011074	Pftk1	Pftk1:chr5:4803385-5380251:-
70	sample1_nopolyA_ext70_cluster_2341	chr16	4932594	4932663	70:2	+	2	chr16	intron	4932299	4934194	+	.	NM_029657	Mgrn1	Mgrn1:chr16:4886252-4938296:+
70	sample1_nopolyA_ext70_cluster_230	chr1	4944618	4944687	70:4	-	4	chr1	intron	4914071	5009391	-	.	NM_021374	Rgs20	Rgs20:chr1:4900050-5009460:-
70	sample1_nopolyA_ext70_cluster_1153	chr12	4946969	4947038	70:3	+	3	chr12	CDS	4946898	4947051	+	1	NM_001099628	Atad2b	Atad2b:chr12:4924159-5054216:+
70	sample1_nopolyA_ext70_cluster_1153	chr12	4946969	4947038	70:3	+	3	chr12	exon	4946898	4947051	+	1	NM_001099628	Atad2b	Atad2b:chr12:4924159-5054216:+
70	sample1_nopolyA_ext70_cluster_231	chr1	4958700	4958769	70:1	-	1	chr1	intron	4914071	5009391	-	.	NM_021374	Rgs20	Rgs20:chr1:4900050-5009460:-
70	sample1_nopolyA_ext70_cluster_1154	chr12	5053335	5053404	70:3	+	3	chr12	exon	5050812	5054216	+	0	NM_001099628	Atad2b	Atad2b:chr12:4924159-5054216:+
70	sample1_nopolyA_ext70_cluster_1154	chr12	5053335	5053404	70:3	+	3	chr12	3UTR	5050854	5054216	+	-1	NM_001099628	Atad2b	Atad2b:chr12:4924159-5054216:+
70	sample1_nopolyA_ext70_cluster_4	chr1	5152378	5152447	70:1	+	1	chr1	exon	5152186	5152630	+	2	NM_133826	Atp6v1h	Atp6v1h:chr1:5073254-5152630:+
70	sample1_nopolyA_ext70_cluster_4	chr1	5152378	5152447	70:1	+	1	chr1	3UTR	5152247	5152630	+	-1	NM_133826	Atp6v1h	Atp6v1h:chr1:5073254-5152630:+
70	sample1_nopolyA_ext70_cluster_447	chr10	5167044	5167113	70:1	+	1	chr10	intron	5161146	5170624	+	.	NM_001079686	Syne1	Syne1:chr10:5151834-5326342:+
70	sample1_nopolyA_ext70_cluster_448	chr10	5218076	5218145	70:1	+	1	chr10	CDS	5217965	5218161	+	0	NM_001079686	Syne1	Syne1:chr10:5151834-5326342:+
70	sample1_nopolyA_ext70_cluster_448	chr10	5218076	5218145	70:1	+	1	chr10	exon	5217965	5218161	+	0	NM_001079686	Syne1	Syne1:chr10:5151834-5326342:+
222	sample1_nopolyA_ext70_cluster_3551	chr2	5300037	5300258	18:1|9:3|6:11|24:13|1:14|1:16|11:18|2:17|16:18|9:16|6:8|3:6|19:7|1:8|1:10|1:17|1:22|1:25|1:28|1:32|1:34|6:35|3:37|7:36|3:37|24:39|19:38|1:37|1:35|1:27|1:20|1:15|1:12|1:8|1:6|6:5|10:3|3:2	-	58	chr2	intron	5283174	5366115	-	.	NM_177343	Camk1d	Camk1d:chr2:5214503-5635710:-
